group,indicator,US,Chile,Chile_ratio,Chile_source,Chile_year,Chile_is_proxy,Mexico,Mexico_ratio,Mexico_source,Mexico_year,Mexico_is_proxy,Peru,Peru_ratio,Peru_source,Peru_year,Peru_is_proxy,Ecuador,Ecuador_ratio,Ecuador_source,Ecuador_year,Ecuador_is_proxy
Education,literacy,99.0,97.0,0.9797979797979798,"World Development Indicators, World Bank",2021.0,False,95.0,0.9595959595959596,"World Development Indicators, World Bank",2021.0,False,94.0,0.9494949494949495,"World Development Indicators, World Bank",2021.0,False,93.6,0.9454545454545454,"World Development Indicators, World Bank",2022.0,False
Education,schooling,13.8,10.6,0.7681159420289855,"World Development Indicators, World Bank",2021.0,False,8.9,0.644927536231884,"World Development Indicators, World Bank",2021.0,False,9.7,0.7028985507246376,"World Development Indicators, World Bank",2021.0,False,10.4,0.7536231884057971,"ENEMDU, INEC Ecuador",2023.0,False
Education,edu_spending,5.4,5.6,1.037037037037037,"World Development Indicators, World Bank",2020.0,False,4.6,0.8518518518518517,"World Development Indicators, World Bank",2020.0,False,3.9,0.7222222222222222,"World Development Indicators, World Bank",2020.0,False,3.9,0.7222222222222222,"World Development Indicators, World Bank",2021.0,False
Education,pisa,465.0,412.0,0.886021505376344,OECD PISA,2018.0,False,395.0,0.8494623655913979,OECD PISA,2018.0,False,391.0,0.8408602150537634,OECD PISA,2018.0,False,377.0,0.810752688172043,OECD PISA-D (PISA for Development),2017.0,False
Access_Skills,internet,92.0,90.0,0.9782608695652174,"World Development Indicators, World Bank / ITU",2021.0,False,76.0,0.8260869565217391,"World Development Indicators, World Bank / ITU",2021.0,False,75.0,0.8152173913043478,"World Development Indicators, World Bank / ITU",2021.0,False,76.2,0.8282608695652174,"World Development Indicators, World Bank / ITU",2023.0,False
Access_Skills,broadband,37.6,22.7,0.6037234042553191,"World Development Indicators, World Bank / ITU",2021.0,False,19.5,0.5186170212765957,"World Development Indicators, World Bank / ITU",2021.0,False,9.3,0.2473404255319149,"World Development Indicators, World Bank / ITU",2021.0,False,13.7,0.36436170212765956,"World Development Indicators, World Bank / ITU",2023.0,False
Access_Skills,firm_tech,6.1,5.2,0.8524590163934427,"Global Information Technology Report 2016, WEF",2016.0,False,4.6,0.7540983606557377,"Global Information Technology Report 2016, WEF",2016.0,False,4.5,0.7377049180327869,"Global Information Technology Report 2016, WEF",2016.0,False,4.5,0.7377049180327869,"Global Information Technology Report 2016, WEF",2016.0,False
Access_Skills,digital_skills,5.3,4.3,0.8113207547169812,"Global Information Technology Report 2016, WEF",2016.0,False,3.8,0.7169811320754716,"Global Information Technology Report 2016, WEF",2016.0,False,3.4,0.6415094339622641,"Global Information Technology Report 2016, WEF",2016.0,False,3.65,0.6886792452830188,Estimación propia vía CAF IDED 2023 (indicador A135),2023.0,True
FACTOR,F_adjustment,,0.8645920636464133,0.8645920636464133,,,,,,,,,,,,,,,,,,
FACTOR,F_adjustment,,,,,,,0.7652026479750796,0.7652026479750796,,,,,,,,,,,,,
FACTOR,F_adjustment,,,,,,,,,,,,0.7071560132908608,0.7071560132908608,,,,,,,,
FACTOR,F_adjustment,,,,,,,,,,,,,,,,,0.7313824224079113,0.7313824224079113,,,
