group,indicator,US,Chile,Chile_ratio,Mexico,Mexico_ratio,Peru,Peru_ratio,Ecuador,Ecuador_ratio
Education,literacy,99.0,97.0,0.9797979797979798,95.0,0.9595959595959596,94.0,0.9494949494949495,93.6,0.9454545454545454
Education,schooling,13.8,10.6,0.7681159420289855,8.9,0.644927536231884,9.7,0.7028985507246376,10.4,0.7536231884057971
Education,edu_spending,5.4,5.6,1.037037037037037,4.6,0.8518518518518517,3.9,0.7222222222222222,3.9,0.7222222222222222
Education,pisa,465.0,412.0,0.886021505376344,395.0,0.8494623655913979,391.0,0.8408602150537634,377.0,0.810752688172043
Access_Skills,internet,92.0,90.0,0.9782608695652174,76.0,0.8260869565217391,75.0,0.8152173913043478,76.2,0.8282608695652174
Access_Skills,broadband,37.6,22.7,0.6037234042553191,19.5,0.5186170212765957,9.3,0.2473404255319149,13.7,0.36436170212765956
Access_Skills,firm_tech,6.1,5.2,0.8524590163934427,4.6,0.7540983606557377,4.5,0.7377049180327869,4.5,0.7377049180327869
Access_Skills,digital_skills,5.3,4.3,0.8113207547169812,3.8,0.7169811320754716,3.4,0.6415094339622641,3.65,0.6886792452830188
FACTOR,F_adjustment,,0.8645920636464133,0.8645920636464133,,,,,,
FACTOR,F_adjustment,,,,0.7652026479750796,0.7652026479750796,,,,
FACTOR,F_adjustment,,,,,,0.7071560132908608,0.7071560132908608,,
FACTOR,F_adjustment,,,,,,,,0.7313824224079113,0.7313824224079113
