,0
0,area
1,ciudad
2,conglomerado
3,panelm
4,vivienda
5,hogar
6,p01
7,p02
8,p03
9,p04
10,p05a
11,p05b
12,p06
13,p07
14,p08
15,p09
16,p10a
17,p10b
18,p11
19,p12a
20,p12b
21,p15
22,p15aa
23,p15ab
24,cod_inf
25,p20
26,p21
27,p22
28,p23
29,p24
30,p25
31,p26
32,p27
33,p28
34,p29
35,p30
36,p31
37,p32
38,p33
39,p34
40,p35
41,p36
42,p37
43,p38
44,p39
45,p40
46,p41
47,p42
48,p42a
49,p43
50,p44a
51,p44b
52,p44c
53,p44d
54,p44e
55,p44f
56,p44g
57,p44h
58,p44i
59,p44j
60,p44k
61,p45
62,p46
63,p47a
64,p47b
65,p48
66,p49
67,p50
68,p51a
69,p51b
70,p51c
71,p52
72,p53
73,p54
74,p54a
75,p55
76,p56a
77,p56b
78,p57
79,p58
80,p61b1
81,p63
82,p64a
83,p64b
84,p65
85,p66
86,p67
87,p68a
88,p68b
89,p69
90,p70a
91,p70b
92,p71a
93,p71b
94,p72a
95,p72b
96,p73a
97,p73b
98,p74a
99,p74b
100,p75
101,p76
102,p77
103,p78
104,sd01
105,sd021
106,sd022
107,sd023
108,sd024
109,sd025
110,sd026
111,sd027
112,sd028
113,sd029
114,sd0210
115,sd0211
116,sd03
117,ced01a
118,estrato
119,fexp
120,nnivins
121,ingrl
122,ingpc
123,condact
124,empleo
125,desempleo
126,secemp
127,grupo1
128,rama1
129,prov
130,dominio
131,pobreza
132,epobreza
133,upm
134,id_vivienda
135,id_hogar
136,id_persona
137,periodo
138,mes
139,ocupaciones ONET
140,Código CIUO
141,ISCO-08 Code
142,ISCO-08 Title EN
143,2010 SOC Code
144,2010 SOC Title
145,Task ID
146,Task
147,Task Type
148,Title
149,human_exposure_agg
150,gpt4_exposure
151,gpt4_exposure_alt_rubric
152,gpt_3_relevant
153,gpt4_automation
154,alpha
155,beta
156,gamma
157,automation
158,human_labels
