,ISCO-08 Code,ISCO-08 Title EN,part,2010 SOC Code,2010 SOC Title,Unnamed: 0,O*NET-SOC Code,Task ID,Task,Task Type,Title,human_exposure_agg,gpt4_exposure,gpt4_exposure_alt_rubric,gpt_3_relevant,gpt4_automation,alpha,beta,gamma,automation,human_labels
0,1112,Senior government officials,*,11-1011,Chief Executives,0.0,11-1011,8823.0,"Direct or coordinate an organization's financial or budget activities to fund operations, maximize investments, or increase efficiency.",Core,Chief Executives,E0,E2,E2,False,T2,0.0,0.5,1.0,0.5,E0
1,1112,Senior government officials,*,11-1011,Chief Executives,1.0,11-1011,8831.0,Appoint department heads or managers and assign or delegate responsibilities to them.,Core,Chief Executives,E0,E0,E0,False,T1,0.0,0.0,0.0,0.25,E0
2,1112,Senior government officials,*,11-1011,Chief Executives,2.0,11-1011,8825.0,"Analyze operations to evaluate performance of a company or its staff in meeting objectives or to determine areas of potential cost reduction, program improvement, or policy change.",Core,Chief Executives,E2,E2,E2,False,T2,0.0,0.5,1.0,0.5,E2
3,1112,Senior government officials,*,11-1011,Chief Executives,3.0,11-1011,8826.0,"Direct, plan, or implement policies, objectives, or activities of organizations or businesses to ensure continuing operations, to maximize returns on investments, or to increase productivity.",Core,Chief Executives,E0,E2,E0,False,T1,0.0,0.5,1.0,0.25,E0
4,1112,Senior government officials,*,11-1011,Chief Executives,4.0,11-1011,8827.0,"Prepare budgets for approval, including those for funding or implementation of programs.",Core,Chief Executives,E2,E2,E2,False,T2,0.0,0.5,1.0,0.5,E2
5,1112,Senior government officials,*,11-1011,Chief Executives,5.0,11-1011,8824.0,"Confer with board members, organization officials, or staff members to discuss issues, coordinate activities, or resolve problems.",Core,Chief Executives,E0,E0,E0,False,T1,0.0,0.0,0.0,0.25,E0
6,1112,Senior government officials,*,11-1011,Chief Executives,6.0,11-1011,8836.0,Implement corrective action plans to solve organizational or departmental problems.,Core,Chief Executives,E1,E2,E2,False,T1,0.0,0.5,1.0,0.25,E1
7,1112,Senior government officials,*,11-1011,Chief Executives,7.0,11-1011,8832.0,"Direct human resources activities, including the approval of human resource plans or activities, the selection of directors or other high-level staff, or establishment or organization of major departments.",Core,Chief Executives,E2,E2,E0,False,T1,0.0,0.5,1.0,0.25,E2
8,1112,Senior government officials,*,11-1011,Chief Executives,8.0,11-1011,8835.0,Establish departmental responsibilities and coordinate functions among departments and sites.,Core,Chief Executives,E0,E2,E2,False,T1,0.0,0.5,1.0,0.25,E0
9,1112,Senior government officials,*,11-1011,Chief Executives,9.0,11-1011,8833.0,"Preside over, or serve on, boards of directors, management committees, or other governing boards.",Core,Chief Executives,E0,E0,E0,False,T1,0.0,0.0,0.0,0.25,E0
10,1112,Senior government officials,*,11-1011,Chief Executives,10.0,11-1011,8829.0,"Negotiate or approve contracts or agreements with suppliers, distributors, federal or state agencies, or other organizational entities.",Core,Chief Executives,E0,E2,E0,False,T1,0.0,0.5,1.0,0.25,E0
11,1112,Senior government officials,*,11-1011,Chief Executives,11.0,11-1011,8837.0,"Coordinate the development or implementation of budgetary control systems, recordkeeping systems, or other administrative control processes.",Core,Chief Executives,E0,E2,E2,False,T2,0.0,0.5,1.0,0.5,E0
12,1112,Senior government officials,*,11-1011,Chief Executives,12.0,11-1011,8830.0,Review reports submitted by staff members to recommend approval or to suggest changes.,Core,Chief Executives,E1,E1,E2,False,T2,1.0,1.0,1.0,0.5,E1
13,1112,Senior government officials,*,11-1011,Chief Executives,13.0,11-1011,8839.0,"Deliver speeches, write articles, or present information at meetings or conventions to promote services, exchange ideas, or accomplish objectives.",Core,Chief Executives,E2,E1,E1,False,T2,1.0,1.0,1.0,0.5,E2
