onet_soc,task_id,title,task_type,pE0_mean,pE1_mean,pE2_mean,pE0_sd,pE1_sd,pE2_sd,alpha_soft_mean,beta_soft_mean,zeta_soft_mean,hard_label_mean_probs,mean_confidence,n_runs
11-1011.00,8823.0,Chief Executives,Core,0.17999999999999994,0.10000000000000002,0.7200000000000001,0.0,1.3877787807814457e-17,0.0,0.10000000000000002,0.46000000000000013,0.82,E2,0.6999999999999998,3
11-1011.00,8831.0,Chief Executives,Core,0.20999999999999996,0.10000000000000002,0.6900000000000001,0.04242640687119289,1.3877787807814457e-17,0.04242640687119289,0.10000000000000002,0.44500000000000006,0.79,E2,0.7333333333333334,3
11-1011.00,8825.0,Chief Executives,Core,0.07999999999999996,0.20000000000000004,0.7200000000000001,0.0,2.7755575615628914e-17,0.0,0.20000000000000004,0.56,0.9200000000000003,E2,0.8000000000000002,3
11-1011.00,8826.0,Chief Executives,Core,0.20999999999999996,0.10000000000000002,0.6900000000000001,0.04242640687119289,1.3877787807814457e-17,0.04242640687119289,0.10000000000000002,0.44500000000000006,0.79,E2,0.7333333333333334,3
11-1011.00,8827.0,Chief Executives,Core,0.07666666666666662,0.2333333333333333,0.6900000000000001,0.004714045207910321,0.04714045207910316,0.04242640687119289,0.2333333333333333,0.5783333333333334,0.9233333333333335,E2,0.8000000000000002,3
11-1011.00,8824.0,Chief Executives,Core,0.57,0.10000000000000002,0.33,0.04242640687119284,1.3877787807814457e-17,0.04242640687119286,0.10000000000000002,0.265,0.43,E0,0.6999999999999998,3
11-1011.00,8836.0,Chief Executives,Core,0.15999999999999992,0.20000000000000004,0.6400000000000001,0.0,2.7755575615628914e-17,0.0,0.20000000000000004,0.52,0.8400000000000002,E2,0.6999999999999998,3
11-1011.00,8832.0,Chief Executives,Core,0.17333333333333326,0.13333333333333333,0.6933333333333334,0.009428090415820642,0.047140452079103175,0.03771236166328251,0.13333333333333333,0.48000000000000004,0.8266666666666668,E2,0.6999999999999998,3
11-1011.00,8835.0,Chief Executives,Core,0.17999999999999994,0.10000000000000002,0.7200000000000001,0.0,1.3877787807814457e-17,0.0,0.10000000000000002,0.46000000000000013,0.82,E2,0.6999999999999998,3
11-1011.00,8833.0,Chief Executives,Core,0.63,0.10000000000000002,0.27,0.0,1.3877787807814457e-17,0.0,0.10000000000000002,0.23500000000000001,0.36999999999999994,E0,0.8000000000000002,3
11-1011.00,8829.0,Chief Executives,Core,0.17999999999999994,0.10000000000000002,0.7200000000000001,0.0,1.3877787807814457e-17,0.0,0.10000000000000002,0.46000000000000013,0.82,E2,0.6999999999999998,3
11-1011.00,8837.0,Chief Executives,Core,0.11333333333333329,0.16666666666666666,0.7200000000000001,0.04714045207910316,0.047140452079103175,0.0,0.16666666666666666,0.5266666666666667,0.8866666666666667,E2,0.7666666666666666,3
11-1011.00,8830.0,Chief Executives,Core,0.11666666666666665,0.3,0.5833333333333334,0.03299831645537225,0.0,0.03299831645537225,0.3,0.5916666666666667,0.8833333333333332,E2,0.7333333333333334,3
11-1011.00,8839.0,Chief Executives,Core,0.12,0.4000000000000001,0.48,0.0,5.551115123125783e-17,0.0,0.4000000000000001,0.64,0.88,E2,0.6999999999999998,3
11-1011.00,8843.0,Chief Executives,Core,0.1533333333333333,0.2333333333333333,0.6133333333333334,0.00942809041582059,0.04714045207910316,0.037712361663282616,0.2333333333333333,0.54,0.8466666666666667,E2,0.6999999999999998,3
11-1011.00,8834.0,Chief Executives,Core,0.06999999999999995,0.3,0.63,0.0,0.0,0.0,0.3,0.615,0.93,E2,0.8000000000000002,3
11-1011.00,20461.0,Chief Executives,Core,0.10666666666666662,0.20000000000000004,0.6933333333333334,0.03771236166328251,2.7755575615628914e-17,0.03771236166328251,0.20000000000000004,0.5466666666666667,0.8933333333333335,E2,0.7666666666666666,3
11-1011.00,8846.0,Chief Executives,Core,0.17999999999999994,0.10000000000000002,0.7200000000000001,0.0,1.3877787807814457e-17,0.0,0.10000000000000002,0.46000000000000013,0.82,E2,0.6999999999999998,3
11-1011.00,8848.0,Chief Executives,Core,0.15999999999999992,0.20000000000000004,0.6400000000000001,0.0,2.7755575615628914e-17,0.0,0.20000000000000004,0.52,0.8400000000000002,E2,0.6999999999999998,3
