responsable,ocupaciones ONET,Código CIUO
Alex,Accountants and Auditors,2411.01.07
Alex,Actors,"2655,01"
Alex,Actuaries,2120.02
Alex,Acupuncturists,2230.01.01
Alex,Acute Care Nurses,2221.01.02
Alex,Adapted Physical Education Specialists,3423.01
Alex,Adhesive Bonding Machine Operators and Tenders,8142.01.07
Alex,"Administrative Law Judges, Adjudicators, and Hearing Officers",2612.01
Alex,Administrative Services Managers,1219.01.08
Alex,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",2330.01.06
Alex,Advanced Practice Psychiatric Nurses,2221.01.19
Alex,Advertising and Promotions Managers,1222.01.06
Alex,Advertising Sales Agents,2432.01.12
Alex,Aerospace Engineering and Operations Technologists and Technicians,3522.01.05
Alex,Aerospace Engineers,2153.01.04
Alex,"Agents and Business Managers of Artists, Performers, and Athletes",3322.01.17
Alex,Agricultural Engineers,2132.01.23
Alex,Agricultural Equipment Operators,3115.01.14
Alex,Agricultural Inspectors,3359.01.09
Alex,"Agricultural Sciences Teachers, Postsecondary",2310.02.01
Alex,Agricultural Technicians,3142.01
Alex,Air Traffic Controllers,"3154,01"
Alex,Aircraft Cargo Handling Supervisors,7232.01.22
Alex,Aircraft Mechanics and Service Technicians,7232.01.08
Alex,Aircraft Service Attendants,9112.01.13
Alex,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",8211.01.01
Alex,Airfield Operations Specialists,2142.01.17
Alex,"Airline Pilots, Copilots, and Flight Engineers",3153.01
Alex,Allergists and Immunologists,2212.01.01
Alex,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",8322.01.01
Alex,Amusement and Recreation Attendants,2635.01.15
Alex,Anesthesiologist Assistants,3221.01.14
Alex,Anesthesiologists,2212.01.29
Alex,Animal Breeders,612
Alex,Animal Caretakers,6129.01.14
Alex,Animal Control Workers,5419.01.15
Alex,Animal Scientists,2131.01.23
Alex,Animal Trainers,5164.01.03
Alex,Anthropologists and Archeologists,2632.01.01
Alex,"Anthropology and Archeology Teachers, Postsecondary",2310.01.02
Alex,Appraisers and Assessors of Real Estate,3315.01.10
Alex,Appraisers of Personal and Business Property,3315.01.02
Alex,"Arbitrators, Mediators, and Conciliators",2423.01.12
Alex,"Architects, Except Landscape and Naval","2161,01"
Alex,Architectural and Civil Drafters,2161.01.01
Alex,Architectural and Engineering Managers,1323.01.04
Alex,"Architecture Teachers, Postsecondary",2310.02.05
Alex,Archivists,4415.01.01
Alex,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",2310.01.10
Alex,Art Directors,1219.01.02
Alex,Art Therapists,2269.01.04
Alex,"Art, Drama, and Music Teachers, Postsecondary",2310.01.03
Alex,Astronomers,"2111,02"
Alex,Athletes and Sports Competitors,3421.01.02
Alex,Athletic Trainers,3422.01.07
Alex,Atmospheric and Space Scientists,2111.01.03
Alex,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",2310.02.33
Alex,Audio and Video Technicians,3521.01
Alex,Audiologists,2266.01.01
Alex,Audiovisual Equipment Installers and Repairers,3521.01
Alex,Automotive and Watercraft Service Attendants,3115.01.15
Alex,Automotive Body and Related Repairers,3115.01.15
Alex,Automotive Engineering Technicians,3119.01.22
Alex,Automotive Engineers,2144.01.04
Alex,Automotive Glass Installers and Repairers,7125.01.06
Alex,Automotive Service Technicians and Mechanics,3115.01.15
Alex,Aviation Inspectors,3155.01.03
Alex,Avionics Technicians,7421.01.38
Alex,Baggage Porters and Bellhops,9333.01.41
Alex,Bailiffs,3411.01.01
Alex,Bakers,7512.01.43
Alex,Barbers,5141.01.02
Alex,Baristas,5132.01.03
Alex,Bartenders,5132.01.03
Alex,Bicycle Repairers,7234.01
Alex,Bill and Account Collectors,4214.01.13
Alex,Billing and Posting Clerks,431
Alex,Biochemists and Biophysicists,2212.01.07
Alex,Bioengineers and Biomedical Engineers,2149.01.05
Alex,Biofuels Processing Technicians,3116.01.12
Alex,Biofuels Production Managers,1321.01.03
Alex,Biofuels/Biodiesel Technology and Product Development Managers,1321.01.03
Alex,Bioinformatics Scientists,2131.01.24
Alex,Bioinformatics Technicians,2131.01.10
Alex,"Biological Science Teachers, Postsecondary",2310.02.08
Alex,Biological Technicians,2131.01.06
Alex,Biologists,2131.01.06
Alex,Biomass Plant Technicians,8131
Alex,Biomass Power Plant Managers,1321.02.07
Alex,Biostatisticians,2120.03.12
Alex,Blockchain Engineers,2512.01.07
Alex,Boilermakers,7213.01.12
Alex,"Bookkeeping, Accounting, and Auditing Clerks",4311.01.09
Alex,Brickmasons and Blockmasons,7112.01.18
Alex,Bridge and Lock Tenders,4323.01.69
Alex,Broadcast Announcers and Radio Disc Jockeys,2656.01.12
Alex,Broadcast Technicians,352
Alex,Brokerage Clerks,2413.01.06
Alex,Brownfield Redevelopment Specialists and Site Managers,2133.01
Alex,Budget Analysts,4311.01.07
Alex,Bus and Truck Mechanics and Diesel Engine Specialists,7231.01.15
Alex,"Bus Drivers, School",8331.01.05
Alex,"Bus Drivers, Transit and Intercity",8331.01.01
Alex,Business Continuity Planners,2412.01.06
Alex,Business Intelligence Analysts,2149.01.10
Alex,"Business Teachers, Postsecondary",2310.01.14
Alex,Butchers and Meat Cutters,7511.01.04
Alex,"Buyers and Purchasing Agents, Farm Products",3323.01.02
Alex,Cabinetmakers and Bench Carpenters,7115.01.27
Alex,Calibration Technologists and Technicians,7222.01.01
Alex,Camera and Photographic Equipment Repairers,7311.01.14
Alex,"Camera Operators, Television, Video, and Film",3521.01.13
Alex,"Captains, Mates, and Pilots of Water Vessels",3152.01.05
Alex,Cardiologists,2212.01.09
Alex,Cardiovascular Technologists and Technicians,2212.01.09
Alex,"Career/Technical Education Teachers, Middle School",233
Alex,"Career/Technical Education Teachers, Postsecondary",2320.01
Alex,"Career/Technical Education Teachers, Secondary School",233
Alex,Cargo and Freight Agents,9333.01.05
Alex,Carpenters,7115
Alex,Carpet Installers,7122.01.13
Alex,Cartographers and Photogrammetrists,2165
Alex,Cashiers,5230
Alex,Cement Masons and Concrete Finishers,7112.01.06
Alex,Chefs and Head Cooks,512
Alex,Chemical Engineers,2145.01
Alex,Chemical Equipment Operators and Tenders,813
Alex,Chemical Plant and System Operators,8131
Alex,Chemical Technicians,2145.02
Alex,"Chemistry Teachers, Postsecondary",2310.02.12
Alex,Chemists,2113.01
Alex,Chief Executives,11
Alex,Chief Sustainability Officers,1114.01.37
Alex,"Child, Family, and School Social Workers",3412.01.14
Alex,Childcare Workers,3412.01.22
Alex,Chiropractors,3259.01.04
Alex,Choreographers,2653.01.19
Alex,Civil Engineering Technologists and Technicians,2142.01.34
Alex,Civil Engineers,2142.01.02
Alex,"Claims Adjusters, Examiners, and Investigators",2619.01.01
Alex,Cleaners of Vehicles and Equipment,912
Alex,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",7224.01.13
Alex,Clergy,2636.01.16
Alex,Climate Change Policy Analysts,2112.01.01
Alex,Clinical and Counseling Psychologists,2634.01.03
Alex,Clinical Data Managers,2521.01.01
Alex,Clinical Neuropsychologists,2634.01.03
Alex,Clinical Nurse Specialists,2221.01.08
Alex,Clinical Research Coordinators,2113.01.40
Alex,Coaches and Scouts,3422.01
Alex,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",8131.01.37
Alex,"Coil Winders, Tapers, and Finishers",7412.01.16
Alex,"Coin, Vending, and Amusement Machine Servicers and Repairers",9623.01.01
Alex,Commercial and Industrial Designers,2163.01.14
Alex,Commercial Divers,7541
Alex,Commercial Pilots,3153.01.11
