,ISCO-08 Code,ISCO-08 Title EN,2010 SOC Code,2010 SOC Title,Task ID,Task,Task Type,Title,human_exposure_agg,gpt4_exposure,gpt4_exposure_alt_rubric,gpt_3_relevant,gpt4_automation,alpha,beta,gamma,automation,human_labels
0,1112,Senior government officials,11-1011,Chief Executives,8823.0,"Direct or coordinate an organization's financial or budget activities to fund operations, maximize investments, or increase efficiency.",Core,Chief Executives,E0,E2,E2,False,T2,0.0,0.5,1.0,0.5,E0
1,1112,Senior government officials,11-1011,Chief Executives,8831.0,Appoint department heads or managers and assign or delegate responsibilities to them.,Core,Chief Executives,E0,E0,E0,False,T1,0.0,0.0,0.0,0.25,E0
2,1112,Senior government officials,11-1011,Chief Executives,8825.0,"Analyze operations to evaluate performance of a company or its staff in meeting objectives or to determine areas of potential cost reduction, program improvement, or policy change.",Core,Chief Executives,E2,E2,E2,False,T2,0.0,0.5,1.0,0.5,E2
3,1112,Senior government officials,11-1011,Chief Executives,8826.0,"Direct, plan, or implement policies, objectives, or activities of organizations or businesses to ensure continuing operations, to maximize returns on investments, or to increase productivity.",Core,Chief Executives,E0,E2,E0,False,T1,0.0,0.5,1.0,0.25,E0
4,1112,Senior government officials,11-1011,Chief Executives,8827.0,"Prepare budgets for approval, including those for funding or implementation of programs.",Core,Chief Executives,E2,E2,E2,False,T2,0.0,0.5,1.0,0.5,E2
5,1112,Senior government officials,11-1011,Chief Executives,8824.0,"Confer with board members, organization officials, or staff members to discuss issues, coordinate activities, or resolve problems.",Core,Chief Executives,E0,E0,E0,False,T1,0.0,0.0,0.0,0.25,E0
6,1112,Senior government officials,11-1011,Chief Executives,8836.0,Implement corrective action plans to solve organizational or departmental problems.,Core,Chief Executives,E1,E2,E2,False,T1,0.0,0.5,1.0,0.25,E1
7,1112,Senior government officials,11-1011,Chief Executives,8832.0,"Direct human resources activities, including the approval of human resource plans or activities, the selection of directors or other high-level staff, or establishment or organization of major departments.",Core,Chief Executives,E2,E2,E0,False,T1,0.0,0.5,1.0,0.25,E2
8,1112,Senior government officials,11-1011,Chief Executives,8835.0,Establish departmental responsibilities and coordinate functions among departments and sites.,Core,Chief Executives,E0,E2,E2,False,T1,0.0,0.5,1.0,0.25,E0
9,1112,Senior government officials,11-1011,Chief Executives,8833.0,"Preside over, or serve on, boards of directors, management committees, or other governing boards.",Core,Chief Executives,E0,E0,E0,False,T1,0.0,0.0,0.0,0.25,E0
10,1112,Senior government officials,11-1011,Chief Executives,8829.0,"Negotiate or approve contracts or agreements with suppliers, distributors, federal or state agencies, or other organizational entities.",Core,Chief Executives,E0,E2,E0,False,T1,0.0,0.5,1.0,0.25,E0
11,1112,Senior government officials,11-1011,Chief Executives,8837.0,"Coordinate the development or implementation of budgetary control systems, recordkeeping systems, or other administrative control processes.",Core,Chief Executives,E0,E2,E2,False,T2,0.0,0.5,1.0,0.5,E0
12,1112,Senior government officials,11-1011,Chief Executives,8830.0,Review reports submitted by staff members to recommend approval or to suggest changes.,Core,Chief Executives,E1,E1,E2,False,T2,1.0,1.0,1.0,0.5,E1
13,1112,Senior government officials,11-1011,Chief Executives,8839.0,"Deliver speeches, write articles, or present information at meetings or conventions to promote services, exchange ideas, or accomplish objectives.",Core,Chief Executives,E2,E1,E1,False,T2,1.0,1.0,1.0,0.5,E2
14,1112,Senior government officials,11-1011,Chief Executives,8843.0,"Interpret and explain policies, rules, regulations, or laws to organizations, government or corporate officials, or individuals.",Core,Chief Executives,E1,E2,E2,False,T2,0.0,0.5,1.0,0.5,E1
15,1112,Senior government officials,11-1011,Chief Executives,8834.0,"Prepare or present reports concerning activities, expenses, budgets, government statutes or rulings, or other items affecting businesses or program services.",Core,Chief Executives,E2,E2,E2,True,T2,0.0,0.5,1.0,0.5,E2
16,1112,Senior government officials,11-1011,Chief Executives,20461.0,"Review and analyze legislation, laws, or public policy and recommend changes to promote or support interests of the general population or special groups.",Core,Chief Executives,E2,E2,E2,False,T2,0.0,0.5,1.0,0.5,E2
17,1112,Senior government officials,11-1011,Chief Executives,8846.0,"Administer programs for selection of sites, construction of buildings, or provision of equipment or supplies.",Core,Chief Executives,E0,E2,E2,False,T1,0.0,0.5,1.0,0.25,E0
18,1112,Senior government officials,11-1011,Chief Executives,8848.0,Direct or conduct studies or research on issues affecting areas of responsibility.,Core,Chief Executives,E1,E2,E2,False,T2,0.0,0.5,1.0,0.5,E1
19,1112,Senior government officials,11-1011,Chief Executives,8828.0,"Direct or coordinate activities of businesses or departments concerned with production, pricing, sales, or distribution of products.",Supplemental,Chief Executives,E2,E2,E2,False,T1,0.0,0.5,1.0,0.25,E2
20,1112,Senior government officials,11-1011,Chief Executives,8844.0,"Make presentations to legislative or other government committees regarding policies, programs, or budgets.",Supplemental,Chief Executives,E2,E2,E2,False,T2,0.0,0.5,1.0,0.5,E2
21,1112,Senior government officials,11-1011,Chief Executives,8845.0,Refer major policy matters to elected representatives for final decisions.,Supplemental,Chief Executives,E1,E0,E0,False,T1,0.0,0.0,0.0,0.25,E1
22,1112,Senior government officials,11-1011,Chief Executives,8847.0,Direct or coordinate activities of businesses involved with buying or selling investment products or financial services.,Supplemental,Chief Executives,E0,E2,E2,False,T2,0.0,0.5,1.0,0.5,E0
23,1112,Senior government officials,11-1011,Chief Executives,8851.0,"Conduct or direct investigations or hearings to resolve complaints or violations of laws, or testify at such hearings.",Supplemental,Chief Executives,E0,E2,E0,False,T1,0.0,0.5,1.0,0.25,E0
24,1112,Senior government officials,11-1011,Chief Executives,8838.0,"Direct non-merchandising departments, such as advertising, purchasing, credit, or accounting.",Supplemental,Chief Executives,E2,E2,E2,False,T1,0.0,0.5,1.0,0.25,E2
25,1112,Senior government officials,11-1011,Chief Executives,8853.0,"Prepare bylaws approved by elected officials, and ensure that bylaws are enforced.",Supplemental,Chief Executives,E2,E2,E0,False,T2,0.0,0.5,1.0,0.5,E2
26,1112,Senior government officials,11-1011,Chief Executives,8840.0,"Serve as liaisons between organizations, shareholders, and outside organizations.",Supplemental,Chief Executives,E2,E2,E0,False,T1,0.0,0.5,1.0,0.25,E2
27,1112,Senior government officials,11-1011,Chief Executives,8849.0,Attend and participate in meetings of municipal councils or council committees.,Supplemental,Chief Executives,E0,E0,E0,False,T1,0.0,0.0,0.0,0.25,E0
28,1112,Senior government officials,11-1011,Chief Executives,8852.0,"Represent organizations or promote their objectives at official functions, or delegate representatives to do so.",Supplemental,Chief Executives,E0,E0,E0,False,T1,0.0,0.0,0.0,0.25,E0
29,1112,Senior government officials,11-1011,Chief Executives,8850.0,Organize or approve promotional campaigns.,Supplemental,Chief Executives,E0,E2,E2,False,T2,0.0,0.5,1.0,0.5,E0
30,1112,Senior government officials,11-1011,Chief Executives,8842.0,Nominate citizens to boards or commissions.,Supplemental,Chief Executives,E0,E1,E0,False,T1,1.0,1.0,1.0,0.25,E0
31,1112,Senior government officials,11-1011,Chief Executives,15382.0,Monitor and evaluate effectiveness of sustainability programs.,Core,Chief Sustainability Officers,E2,E2,E2,False,T2,0.0,0.5,1.0,0.5,E2
32,1112,Senior government officials,11-1011,Chief Executives,15384.0,"Develop or execute strategies to address issues such as energy use, resource conservation, recycling, pollution reduction, waste elimination, transportation, education, and building design.",Core,Chief Sustainability Officers,E2,E2,E2,False,T1,0.0,0.5,1.0,0.25,E2
33,1112,Senior government officials,11-1011,Chief Executives,15379.0,"Develop, or oversee the development of, sustainability evaluation or monitoring systems.",Core,Chief Sustainability Officers,E0,E2,E2,False,T2,0.0,0.5,1.0,0.5,E0
34,1112,Senior government officials,11-1011,Chief Executives,15372.0,Supervise employees or volunteers working on sustainability projects.,Core,Chief Sustainability Officers,E0,E0,E0,False,T1,0.0,0.0,0.0,0.25,E0
35,1112,Senior government officials,11-1011,Chief Executives,15378.0,"Develop sustainability reports, presentations, or proposals for supplier, employee, academia, media, government, public interest, or other groups.",Core,Chief Sustainability Officers,E2,E2,E2,False,T2,0.0,0.5,1.0,0.5,E2
36,1112,Senior government officials,11-1011,Chief Executives,15380.0,"Develop, or oversee the development of, marketing or outreach media for sustainability projects or events.",Core,Chief Sustainability Officers,E2,E2,E2,False,T3,0.0,0.5,1.0,0.75,E2
37,1112,Senior government officials,11-1011,Chief Executives,15368.0,Identify and evaluate pilot projects or programs to enhance the sustainability research agenda.,Core,Chief Sustainability Officers,E2,E2,E2,True,T1,0.0,0.5,1.0,0.25,E2
38,1112,Senior government officials,11-1011,Chief Executives,15370.0,"Create and maintain sustainability program documents, such as schedules and budgets.",Core,Chief Sustainability Officers,E2,E1,E1,True,T3,1.0,1.0,1.0,0.75,E2
39,1112,Senior government officials,11-1011,Chief Executives,15375.0,Formulate or implement sustainability campaign or marketing strategies.,Core,Chief Sustainability Officers,E2,E2,E2,False,T2,0.0,0.5,1.0,0.5,E2
40,1112,Senior government officials,11-1011,Chief Executives,15376.0,"Research environmental sustainability issues, concerns, or stakeholder interests.",Core,Chief Sustainability Officers,E2,E2,E2,True,T2,0.0,0.5,1.0,0.5,E2
41,1112,Senior government officials,11-1011,Chief Executives,15383.0,Direct sustainability program operations to ensure compliance with environmental or governmental regulations.,Core,Chief Sustainability Officers,E0,E2,E0,False,T2,0.0,0.5,1.0,0.5,E0
42,1112,Senior government officials,11-1011,Chief Executives,15377.0,"Evaluate and approve proposals for sustainability projects, considering factors such as cost effectiveness, technical feasibility, and integration with other initiatives.",Core,Chief Sustainability Officers,E2,E2,E2,False,T2,0.0,0.5,1.0,0.5,E2
43,1112,Senior government officials,11-1011,Chief Executives,15381.0,Develop methodologies to assess the viability or success of sustainability initiatives.,Core,Chief Sustainability Officers,E2,E2,E2,True,T2,0.0,0.5,1.0,0.5,E2
44,1112,Senior government officials,11-1011,Chief Executives,15374.0,"Review sustainability program objectives, progress, or status to ensure compliance with policies, standards, regulations, or laws.",Core,Chief Sustainability Officers,E2,E2,E2,False,T2,0.0,0.5,1.0,0.5,E2
45,1112,Senior government officials,11-1011,Chief Executives,15373.0,Write and distribute financial or environmental impact reports.,Core,Chief Sustainability Officers,E2,E1,E1,True,T3,1.0,1.0,1.0,0.75,E2
46,1112,Senior government officials,11-1011,Chief Executives,15371.0,"Write project proposals, grant applications, or other documents to pursue funding for environmental initiatives.",Core,Chief Sustainability Officers,E1,E1,E1,True,T3,1.0,1.0,1.0,0.75,E1
47,1112,Senior government officials,11-1011,Chief Executives,15367.0,"Identify educational, training, or other development opportunities for sustainability employees or volunteers.",Core,Chief Sustainability Officers,E0,E2,E2,False,T2,0.0,0.5,1.0,0.5,E0
48,1112,Senior government officials,11-1011,Chief Executives,15369.0,Conduct risk assessments related to sustainability and the environment.,Core,Chief Sustainability Officers,E0,E2,E2,True,T2,0.0,0.5,1.0,0.5,E0
49,1113,Traditional chiefs and heads of villages,11-1011,Chief Executives,8823.0,"Direct or coordinate an organization's financial or budget activities to fund operations, maximize investments, or increase efficiency.",Core,Chief Executives,E0,E2,E2,False,T2,0.0,0.5,1.0,0.5,E0
50,1113,Traditional chiefs and heads of villages,11-1011,Chief Executives,8831.0,Appoint department heads or managers and assign or delegate responsibilities to them.,Core,Chief Executives,E0,E0,E0,False,T1,0.0,0.0,0.0,0.25,E0
51,1113,Traditional chiefs and heads of villages,11-1011,Chief Executives,8825.0,"Analyze operations to evaluate performance of a company or its staff in meeting objectives or to determine areas of potential cost reduction, program improvement, or policy change.",Core,Chief Executives,E2,E2,E2,False,T2,0.0,0.5,1.0,0.5,E2
52,1113,Traditional chiefs and heads of villages,11-1011,Chief Executives,8826.0,"Direct, plan, or implement policies, objectives, or activities of organizations or businesses to ensure continuing operations, to maximize returns on investments, or to increase productivity.",Core,Chief Executives,E0,E2,E0,False,T1,0.0,0.5,1.0,0.25,E0
53,1113,Traditional chiefs and heads of villages,11-1011,Chief Executives,8827.0,"Prepare budgets for approval, including those for funding or implementation of programs.",Core,Chief Executives,E2,E2,E2,False,T2,0.0,0.5,1.0,0.5,E2
54,1113,Traditional chiefs and heads of villages,11-1011,Chief Executives,8824.0,"Confer with board members, organization officials, or staff members to discuss issues, coordinate activities, or resolve problems.",Core,Chief Executives,E0,E0,E0,False,T1,0.0,0.0,0.0,0.25,E0
55,1113,Traditional chiefs and heads of villages,11-1011,Chief Executives,8836.0,Implement corrective action plans to solve organizational or departmental problems.,Core,Chief Executives,E1,E2,E2,False,T1,0.0,0.5,1.0,0.25,E1
56,1113,Traditional chiefs and heads of villages,11-1011,Chief Executives,8832.0,"Direct human resources activities, including the approval of human resource plans or activities, the selection of directors or other high-level staff, or establishment or organization of major departments.",Core,Chief Executives,E2,E2,E0,False,T1,0.0,0.5,1.0,0.25,E2
57,1113,Traditional chiefs and heads of villages,11-1011,Chief Executives,8835.0,Establish departmental responsibilities and coordinate functions among departments and sites.,Core,Chief Executives,E0,E2,E2,False,T1,0.0,0.5,1.0,0.25,E0
58,1113,Traditional chiefs and heads of villages,11-1011,Chief Executives,8833.0,"Preside over, or serve on, boards of directors, management committees, or other governing boards.",Core,Chief Executives,E0,E0,E0,False,T1,0.0,0.0,0.0,0.25,E0
