,0
0,8690
1,
2,4922
3,9609
4,4711
5,8010
6,6411
7,7310
8,3811
9,9499
10,1702
11,8121
12,5320
13,5610
14,5510
15,8530
16,8521
17,4771
18,4772
19,8411
20,4719
21,4100
22,4781
23,1410
24,6110
25,3100
26,4773
27,6201
28,4761
29,4530
30,2750
31,8550
32,8413
33,1010
34,3290
35,2211
36,4520
37,9311
38,8542
39,4799
40,5224
41,4791
42,9000
43,4721
44,0111
45,0113
46,9700
47,0150
48,8610
49,6512
50,5221
51,8549
52,6419
53,2511
54,1030
55,1430
56,9511
57,4540
58,4210
59,1071
60,9529
61,1622
62,7500
63,4789
64,1061
65,4669
66,0146
67,0141
68,4620
69,2592
70,9411
71,8423
72,4322
73,1392
74,4630
75,4752
76,2396
77,4321
78,0149
79,2011
80,2023
81,1811
82,8710
83,2392
84,9602
85,1312
86,9524
87,8292
88,8620
89,5629
90,9491
91,7110
92,2012
93,1075
94,4663
95,8412
96,4722
97,2220
98,6910
99,4921
100,4730
101,1104
102,8890
103,1101
104,5911
105,9101
106,6920
107,8422
108,3510
109,3314
110,9601
111,8020
112,2410
113,4649
114,8510
115,4510
116,8430
117,7410
118,4330
119,3312
120,7911
121,6611
122,2022
123,4741
124,4220
125,8541
126,7120
127,8129
128,4759
129,8810
130,9312
131,6311
132,7020
133,4782
134,6120
135,6202
136,8790
137,2813
138,4923
139,4390
140,8720
141,9200
142,6820
143,8522
144,2021
145,0130
146,8130
147,4290
148,8299
149,3313
150,5811
151,2030
152,3250
153,2029
154,9319
155,3600
156,2599
157,3211
158,2394
159,9522
160,4651
161,8110
162,2393
163,6622
164,5914
165,7730
166,7490
167,9900
168,1020
169,2395
170,4653
171,1629
172,1079
173,4659
174,1313
175,5630
176,7420
177,1040
178,1050
179,2930
180,1520
181,6020
182,5229
183,2431
184,4652
185,2640
186,1920
187,0810
188,4662
189,4690
190,1610
191,9102
192,2399
193,6010
194,6190
195,7990
196,1073
197,9521
198,2920
199,5223
200,2100
201,3091
202,7729
203,3230
204,4774
205,4751
206,6492
207,8230
208,6130
209,2910
210,5621
211,1512
212,7320
213,9329
214,7830
215,8291
216,0162
217,4763
218,0119
219,8421
220,2825
221,9321
222,0321
223,3240
224,2310
225,4641
226,0729
227,4610
228,9512
229,9412
230,3212
231,6613
232,7710
233,1074
234,6511
235,3320
236,1103
237,7820
238,7210
239,4661
240,0142
241,5813
242,2710
243,4764
244,1621
245,0122
246,0145
247,3311
248,1709
249,9603
250,4753
251,2610
252,0322
253,1102
254,7220
255,7912
256,0127
257,6621
258,2593
259,0220
260,1080
261,6810
262,3319
263,2824
264,3812
265,8730
266,2821
267,9523
268,2219
269,4762
270,2819
271,0125
272,8220
273,3220
274,5520
275,2651
276,0144
277,2512
278,0123
279,1062
280,5912
281,0124
282,0114
283,0990
284,0161
285,1072
286,1311
287,0115
288,8219
289,5920
290,1200
291,5012
292,2790
293,6612
294,3830
295,6619
296,0128
297,0163
298,0610
299,0910
300,3700
301,1623
302,0126
303,1394
304,0143
305,3530
306,5110
307,3821
308,2630
309,5222
310,0311
311,4742
312,3315
313,6630
314,2822
315,9492
316,9420
317,5210
318,3011
319,5011
320,2811
321,0210
322,4329
323,0112
324,1812
325,4723
326,3012
327,6499
328,7721
329,0312
330,9103
331,0240
332,4312
333,5021
334,0116
335,0129
336,3900
337,6209
338,1701
339,6430
340,2816
341,2420
342,5022
343,2013
344,7810
345,5120
346,2720
347,2732
348,2660
349,0170
350,5820
351,6614
352,2620
353,0121
354,0899
355,6530
356,4930
357,2829
358,2818
359,1399
360,4911
361,6312
362,3099
363,3822
364,7740
365,2740
366,4311
367,2670
368,6629
369,1393
370,0230
371,1511
372,0620
373,0893
